"Team","Count","Earliest Date","Days"
"New York Mets",2000,2015-12-23,1813
"New York Yankees",2000,2015-11-09,1857
"Boston Red Sox",2000,2015-09-12,1915
"Los Angeles Dodgers",2000,2015-05-20,2030
"Baltimore Orioles",2000,2015-03-31,2080
"Texas Rangers",2000,2015-03-24,2087
"Toronto Blue Jays",2000,2015-02-14,2125
"Washington Nationals",2000,2014-12-13,2188
"Philadelphia Phillies",2000,2014-12-09,2192
"Atlanta Braves",2000,2014-11-25,2206
"San Diego Padres",2000,2014-11-21,2210
"Chicago Cubs",2000,2014-11-08,2223
"San Francisco Giants",2001,2014-07-26,2328
"Miami Marlins",2000,2014-07-13,2341
"Tampa Bay Rays",2000,2014-06-28,2356
"Los Angeles Angels",2000,2014-05-01,2414
"Houston Astros",2001,2014-01-12,2523
"Seattle Mariners",2000,2013-12-14,2552
"Minnesota Twins",2000,2013-12-11,2555
"Cleveland Indians",2000,2013-10-26,2601
"Detroit Tigers",2000,2013-10-21,2606
"Pittsburgh Pirates",2001,2013-09-14,2643
"Arizona Diamondbacks",2000,2013-07-21,2698
"Cincinnati Reds",2000,2013-06-10,2739
"Milwaukee Brewers",2000,2013-06-01,2748
"Chicago White Sox",2000,2013-05-25,2755
"Oakland Athletics",2000,2013-04-03,2807
"St Louis Cardinals",2000,2013-01-28,2872
"Kansas City Royals",2000,2012-12-17,2914
"Colorado Rockies",2000,2012-05-18,3127
